fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20240504 182108	1050	300425	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	87	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100003	0.165764858664267	0.699773821130617	1148	269	16232	56323370.3148426	1
20240504 182828	1050	300425	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	732	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100003	0.419739259394006	0.565271590341928	445	465	11730	52910869.5652174	2
20240504 183138	1050	300425	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	233	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100003	0.22731696789096	0.809130471176267	1612	1291	14158	53524320.8395802	3
20240504 183608	1050	300425	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	382	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100003	0.109118766122661	0.58474215917554	736	1659	11110	58652308.8455772	4
20240504 183956	1050	300425	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	83	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100003	0.224277396571345	0.767757468133595	1492	441	11826	55794863.5682159	5
20240504 184239	1050	300425	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	96	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100003	0.157167483865245	0.795699076245168	584	978	13933	58412214.3928036	6
20240504 184523	1050	300425	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	125	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100003	0.388229767841384	0.714157967116883	1747	1239	14505	52208958.0209895	7
20240504 184845	1050	300425	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	301	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100003	0.491293462040407	0.727807291279062	843	839	11762	52878317.8410795	8
20240504 185514	1050	300425	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	580	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100003	0.367056694200651	0.517835060148428	1244	1068	11312	51749157.4212894	9
20240504 185815	1050	300425	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	103	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100003	0.284219516825143	0.882949246763821	1865	739	12530	55642743.6281859	10
