fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20240505 180525	1050	300425	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	111	1	1	1	TRUE	1	0.1	50	0.5	FALSE	100003	0.165764858664267	0.699773821130617	1148	269	14411	56345050.9745127	1
20240505 181006	1050	300425	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	316	1	1	1	TRUE	1	0.1	50	0.5	FALSE	100003	0.419739259394006	0.565271590341928	445	465	10729	49910571.2143928	2
20240505 181220	1050	300425	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	133	1	1	1	TRUE	1	0.1	50	0.5	FALSE	100003	0.22731696789096	0.809130471176267	1612	1291	12236	59032869.5652174	3
20240505 181449	1050	300425	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	114	1	1	1	TRUE	1	0.1	50	0.5	FALSE	100003	0.109118766122661	0.58474215917554	736	1659	11918	61198383.808096	4
20240505 181746	1050	300425	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	70	1	1	1	TRUE	1	0.1	50	0.5	FALSE	100003	0.224277396571345	0.767757468133595	1492	441	12156	58660395.802099	5
20240505 181951	1050	300425	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	47	1	1	1	TRUE	1	0.1	50	0.5	FALSE	100003	0.157167483865245	0.795699076245168	584	978	11877	58891098.9505247	6
20240505 182143	1050	300425	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	51	1	1	1	TRUE	1	0.1	50	0.5	FALSE	100003	0.388229767841384	0.714157967116883	1747	1239	16158	52143931.0344828	7
20240505 182253	1050	300425	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	85	1	1	1	TRUE	1	0.1	50	0.5	FALSE	100003	0.491293462040407	0.727807291279062	843	839	11375	46752901.0494753	8
20240505 182544	1050	300425	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	78	1	1	1	TRUE	1	0.1	50	0.5	FALSE	100003	0.367056694200651	0.517835060148428	1244	1068	12525	54430337.3313343	9
20240505 182800	1050	300425	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	32	1	1	1	TRUE	1	0.1	50	0.5	FALSE	100003	0.284219516825143	0.882949246763821	1865	739	11913	55647326.8365817	10
20240505 183731	1050	300425	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1175	1	1	1	TRUE	1	0.1	50	0.5	FALSE	100003	0.011751389852705	0.670336341108186	386	635	13703	61815437.7811094	11
20240505 184523	1050	300425	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	399	1	1	1	TRUE	1	0.1	50	0.5	FALSE	100003	0.0690757907559489	0.540137471200105	1291	1493	12350	60847571.2143928	12
20240505 184716	1050	300425	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	102	1	1	1	TRUE	1	0.1	50	0.5	FALSE	100003	0.345741345317179	0.872193432544878	239	1780	12866	54468146.9265367	13
20240505 184840	1050	300425	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	359	1	1	1	TRUE	1	0.1	50	0.5	FALSE	100003	0.457335316358395	0.621207776580988	19	1912	13418	47905640.17991	14
20240505 185154	1050	300425	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	410	1	1	1	TRUE	1	0.1	50	0.5	FALSE	100003	0.0714556652002568	0.831397344219882	1983	1613	13593	60501779.6101949	15
20240505 185427	1050	300425	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	86	1	1	1	TRUE	1	0.1	50	0.5	FALSE	100003	0.296042170594859	0.643470694332361	977	197	13903	50573758.6206897	16
