fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20240505 212051	1052	300425	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	21	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100003	0.165764858664267	0.699773821130617	1148	269	12574	57082617.6911544	1
20240505 212327	1052	300425	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	12	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100003	0.419739259394006	0.565271590341928	445	465	15347	52466586.2068966	2
20240505 212510	1052	300425	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100003	0.22731696789096	0.809130471176267	1612	1291	16609	42350271.3643178	3
20240505 212708	1052	300425	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	23	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100003	0.109118766122661	0.58474215917554	736	1659	15293	56406577.2113943	4
20240505 212936	1052	300425	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	6	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100003	0.224277396571345	0.767757468133595	1492	441	12983	56276427.2863568	5
20240505 213130	1052	300425	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	7	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100003	0.157167483865245	0.795699076245168	584	978	15367	54237710.6446777	6
20240505 213313	1052	300425	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	7	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100003	0.388229767841384	0.714157967116883	1747	1239	14782	49924164.9175412	7
20240505 213507	1052	300425	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	22	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100003	0.491293462040407	0.727807291279062	843	839	14050	47943313.3433283	8
20240505 213730	1052	300425	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100003	0.367056694200651	0.517835060148428	1244	1068	16546	37605598.2008995	9
20240505 213936	1052	300425	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	9	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100003	0.284219516825143	0.882949246763821	1865	739	13892	57062950.5247376	10
20240505 214314	1052	300425	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100003	0.011751389852705	0.670336341108186	386	635	13729	54259716.6416792	11
20240505 214545	1052	300425	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100003	0.0690757907559489	0.540137471200105	1291	1493	13858	55333406.2968516	12
20240505 214908	1052	300425	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	495	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100003	0.345741345317179	0.872193432544878	239	1780	13143	50465152.9235382	13
20240505 214959	1052	300425	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	12	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100003	0.457335316358395	0.621207776580988	19	1912	12847	46061638.6806597	14
20240505 215143	1052	300425	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	6	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100003	0.0714556652002568	0.831397344219882	1983	1613	14858	48874575.7121439	15
20240505 215356	1052	300425	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	7	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100003	0.296042170594859	0.643470694332361	977	197	12019	54183839.5802099	16
