fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20240507 014529	1050	300425	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	22	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100003	0.0130341678509069	0.523734881049505	499	872	13366	57696782.6086956	24
20240507 014842	1050	300425	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	7	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100003	0.017069593930942	0.667571772696627	496	613	13567	57316991.0044978	25
20240507 015059	1050	300425	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	7	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100003	0.290155002653765	0.834152056722655	1653	614	12843	57799035.982009	26
20240507 015309	1050	300425	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	5	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100003	0.29707371996877	0.836109727563545	1838	671	12487	55986796.101949	27
20240507 015512	1050	300425	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100003	0.283350841710658	0.775198170673335	1534	797	12430	54371649.1754123	28
20240507 015734	1050	300425	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100003	0.287744622080133	0.898561771551444	1763	256	13612	55245019.4902549	29
20240507 020220	1050	300425	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100003	0.0101249325550221	0.500061828473884	477	692	12633	54154373.3133433	30
20240507 020508	1050	300425	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100003	0.0170928023878177	0.757070151640478	333	916	13059	54550676.161919	31
20240507 020854	1050	300425	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	13	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100003	0.0149247298846695	0.631945267791951	536	300	13246	56096302.8485757	32
20240507 021224	1050	300425	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100003	0.0223169458438949	0.541741214508631	974	811	11635	55239347.826087	33
20240507 021412	1050	300425	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100003	0.290524994631592	0.861891824950617	1760	1142	12141	54885965.5172414	34
20240507 021825	1050	300425	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100003	0.0101043396416205	0.843783333634988	490	552	16354	54407745.1274363	35
20240507 022150	1050	300425	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100003	0.0535255260852668	0.548815842736612	1175	390	13091	53983731.6341829	36
20240507 022456	1050	300425	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	7	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100003	0.0322049589780011	0.570251556326984	396	562	13660	56883148.4257871	37
20240507 022805	1050	300425	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	147	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100003	0.020205040858816	0.504025478347303	9	540	14996	54906632.6836582	38
20240507 023046	1050	300425	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100003	0.0434376255906766	0.502043851913632	482	1351	12562	53007913.0434783	39
20240507 023318	1050	300425	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	38	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100003	0.211963175353845	0.526700185493789	1550	1489	11892	59095994.0029985	40
