fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20240509 025023	1050	300425	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100003	0.165764858664267	0.699773821130617	1148	269	14537	53164892.053973	1
20240509 025255	1050	300425	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	6	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100003	0.419739259394006	0.565271590341928	445	465	13553	54022559.2203898	2
20240509 025441	1050	300425	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100003	0.22731696789096	0.809130471176267	1612	1291	14128	54956749.6251874	3
20240509 025638	1050	300425	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	20	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100003	0.109118766122661	0.58474215917554	736	1659	15985	52847218.8905547	4
20240509 025920	1050	300425	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	56	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100003	0.224277396571345	0.767757468133595	1492	441	13290	57029130.4347826	5
20240509 030130	1050	300425	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	5	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100003	0.157167483865245	0.795699076245168	584	978	16296	52214968.5157421	6
20240509 030315	1050	300425	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	7	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100003	0.388229767841384	0.714157967116883	1747	1239	14548	48428503.7481259	7
20240509 030507	1050	300425	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	9	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100003	0.491293462040407	0.727807291279062	843	839	15396	53549991.0044978	8
20240509 030731	1050	300425	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100003	0.367056694200651	0.517835060148428	1244	1068	25333	39081359.82009	9
20240509 030943	1050	300425	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	21	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100003	0.284219516825143	0.882949246763821	1865	739	10030	57478335.832084	10
20240509 031328	1050	300425	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100003	0.011751389852705	0.670336341108186	386	635	12985	55563320.8395802	11
20240509 031604	1050	300425	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	9	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100003	0.0690757907559489	0.540137471200105	1291	1493	17578	51838053.9730135	12
20240509 031738	1050	300425	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	6	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100003	0.345741345317179	0.872193432544878	239	1780	15526	50953994.0029985	13
20240509 031848	1050	300425	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	169	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100003	0.457335316358395	0.621207776580988	19	1912	12807	49652043.4782609	14
20240509 032039	1050	300425	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	34	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100003	0.0714556652002568	0.831397344219882	1983	1613	12903	57141734.6326837	15
20240509 032255	1050	300425	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	10	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100003	0.296042170594859	0.643470694332361	977	197	14965	55147998.5007496	16
20240509 032522	1050	300425	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	117	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100003	0.420133174868758	0.851027170882504	1508	443	16071	48348619.1904048	17
20240509 032749	1050	300425	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100003	0.274089615668155	0.791909980209402	1544	303	14320	47043538.2308846	18
20240509 032941	1050	300425	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100003	0.285663363613235	0.819110371783967	1946	1034	22067	45643557.7211394	19
20240509 033146	1050	300425	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100003	0.28141472788817	0.831985089408318	1773	736	12495	54687353.8230885	20
20240509 033413	1050	300425	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100003	0.210158980874293	0.618676798365942	934	458	14869	55608592.203898	21
