fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20240506 134553	1050	300425	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	22	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100003	0.165764858664267	0.699773821130617	1148	269	13539	55184799.1004498	1
20240506 134827	1050	300425	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	6	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100003	0.419739259394006	0.565271590341928	445	465	12212	55210896.5517241	2
20240506 135013	1050	300425	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	13	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100003	0.22731696789096	0.809130471176267	1612	1291	14020	57057121.4392804	3
20240506 135210	1050	300425	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	27	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100003	0.109118766122661	0.58474215917554	736	1659	11147	59122178.4107946	4
20240506 135439	1050	300425	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100003	0.224277396571345	0.767757468133595	1492	441	15658	50736524.7376312	5
20240506 135630	1050	300425	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100003	0.157167483865245	0.795699076245168	584	978	16272	49440911.5442279	6
20240506 135813	1050	300425	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	8	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100003	0.388229767841384	0.714157967116883	1747	1239	13485	54123470.7646177	7
20240506 140002	1050	300425	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	10	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100003	0.491293462040407	0.727807291279062	843	839	13774	53283757.1214393	8
20240506 140226	1050	300425	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100003	0.367056694200651	0.517835060148428	1244	1068	12414	36102407.796102	9
20240506 140429	1050	300425	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100003	0.284219516825143	0.882949246763821	1865	739	15981	53207464.7676162	10
20240506 140807	1050	300425	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	12	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100003	0.011751389852705	0.670336341108186	386	635	13056	56775448.2758621	11
20240506 141040	1050	300425	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100003	0.0690757907559489	0.540137471200105	1291	1493	16451	51370238.3808096	12
20240506 141215	1050	300425	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	19	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100003	0.345741345317179	0.872193432544878	239	1780	12251	56064511.2443778	13
